IP:PORT, LOSS, DELAY
162.159.195.142:1018,0.00%,155 ms
162.159.192.24:7152,0.00%,156 ms
162.159.192.101:2408,0.00%,156 ms
162.159.195.214:1387,0.00%,156 ms
162.159.192.62:8742,0.00%,157 ms
162.159.192.123:942,0.00%,157 ms
162.159.192.165:8742,0.00%,157 ms
162.159.192.212:890,0.00%,157 ms
162.159.192.229:2408,0.00%,157 ms
162.159.195.14:1018,0.00%,157 ms
162.159.195.69:890,0.00%,157 ms
162.159.195.130:1018,0.00%,157 ms
162.159.195.138:1018,0.00%,157 ms
162.159.192.224:1387,0.00%,158 ms
162.159.195.31:890,0.00%,158 ms
162.159.195.138:955,0.00%,158 ms
162.159.195.236:1387,0.00%,158 ms
162.159.195.139:859,0.00%,159 ms
162.159.195.166:859,0.00%,159 ms
162.159.192.114:1018,0.00%,160 ms
162.159.192.181:890,0.00%,160 ms
162.159.192.198:3854,0.00%,160 ms
162.159.192.207:859,0.00%,160 ms
162.159.192.229:8742,0.00%,160 ms
162.159.195.34:1387,0.00%,160 ms
162.159.195.54:3854,0.00%,160 ms
162.159.195.67:859,0.00%,160 ms
162.159.195.91:8742,0.00%,160 ms
162.159.192.33:8742,0.00%,161 ms
162.159.192.39:955,0.00%,161 ms
162.159.192.68:8742,0.00%,161 ms
162.159.192.70:8742,0.00%,161 ms
162.159.192.117:854,0.00%,161 ms
162.159.192.162:3854,0.00%,161 ms
162.159.192.192:955,0.00%,161 ms
162.159.192.196:1387,0.00%,161 ms
162.159.192.198:8742,0.00%,161 ms
162.159.192.198:854,0.00%,161 ms
162.159.192.207:854,0.00%,161 ms
162.159.192.211:2408,0.00%,161 ms
162.159.195.2:1018,0.00%,161 ms
162.159.195.31:1387,0.00%,161 ms
162.159.195.35:8742,0.00%,161 ms
162.159.195.39:890,0.00%,161 ms
162.159.195.40:2408,0.00%,161 ms
162.159.195.42:8742,0.00%,161 ms
162.159.195.42:2408,0.00%,161 ms
162.159.195.52:8742,0.00%,161 ms
162.159.195.52:2408,0.00%,161 ms
162.159.195.56:7152,0.00%,161 ms
162.159.195.58:7152,0.00%,161 ms
162.159.195.96:859,0.00%,161 ms
162.159.195.109:890,0.00%,161 ms
162.159.195.110:854,0.00%,161 ms
162.159.195.127:854,0.00%,161 ms
162.159.195.130:955,0.00%,161 ms
162.159.195.159:942,0.00%,161 ms
162.159.195.166:942,0.00%,161 ms
162.159.195.171:859,0.00%,161 ms
162.159.195.173:7152,0.00%,161 ms
162.159.195.180:1387,0.00%,161 ms
162.159.195.191:8742,0.00%,161 ms
162.159.195.210:890,0.00%,161 ms
162.159.195.225:1018,0.00%,161 ms
162.159.195.231:1387,0.00%,161 ms
162.159.195.244:859,0.00%,161 ms
162.159.195.254:1387,0.00%,161 ms
162.159.192.0:8742,0.00%,162 ms
162.159.192.15:1018,0.00%,162 ms
162.159.192.23:942,0.00%,162 ms
162.159.192.115:955,0.00%,162 ms
162.159.192.162:854,0.00%,162 ms
162.159.192.173:890,0.00%,162 ms
162.159.192.204:859,0.00%,162 ms
162.159.192.207:955,0.00%,162 ms
162.159.192.209:3854,0.00%,162 ms
162.159.192.211:1387,0.00%,162 ms
162.159.192.212:3854,0.00%,162 ms
162.159.192.229:942,0.00%,162 ms
162.159.192.246:955,0.00%,162 ms
162.159.195.7:1018,0.00%,162 ms
162.159.195.8:1387,0.00%,162 ms
162.159.195.10:890,0.00%,162 ms
162.159.195.14:890,0.00%,162 ms
162.159.195.14:2408,0.00%,162 ms
162.159.195.26:8742,0.00%,162 ms
162.159.195.39:7152,0.00%,162 ms
162.159.195.42:1387,0.00%,162 ms
162.159.195.42:3854,0.00%,162 ms
162.159.195.45:7152,0.00%,162 ms
162.159.195.53:2408,0.00%,162 ms
162.159.195.54:8742,0.00%,162 ms
162.159.195.55:1018,0.00%,162 ms
162.159.195.83:1387,0.00%,162 ms
162.159.195.99:1387,0.00%,162 ms
162.159.195.100:1018,0.00%,162 ms
162.159.195.102:2408,0.00%,162 ms
162.159.195.103:859,0.00%,162 ms
162.159.195.110:8742,0.00%,162 ms
162.159.195.130:7152,0.00%,162 ms
162.159.195.138:7152,0.00%,162 ms
162.159.195.138:1387,0.00%,162 ms
162.159.195.144:7152,0.00%,162 ms
162.159.195.146:1018,0.00%,162 ms
162.159.195.166:854,0.00%,162 ms
162.159.195.169:1018,0.00%,162 ms
162.159.195.170:955,0.00%,162 ms
162.159.195.200:7152,0.00%,162 ms
162.159.195.203:854,0.00%,162 ms
162.159.195.208:854,0.00%,162 ms
162.159.195.215:955,0.00%,162 ms
162.159.195.242:859,0.00%,162 ms
162.159.192.33:854,0.00%,163 ms
162.159.192.55:2408,0.00%,163 ms
162.159.192.59:854,0.00%,163 ms
162.159.192.104:955,0.00%,163 ms
162.159.192.104:8742,0.00%,163 ms
162.159.192.118:7152,0.00%,163 ms
162.159.192.130:1387,0.00%,163 ms
162.159.192.148:8742,0.00%,163 ms
162.159.192.151:8742,0.00%,163 ms
162.159.192.158:3854,0.00%,163 ms
162.159.192.164:1387,0.00%,163 ms
162.159.192.167:942,0.00%,163 ms
162.159.192.203:1018,0.00%,163 ms
162.159.192.207:890,0.00%,163 ms
162.159.192.207:942,0.00%,163 ms
162.159.192.209:8742,0.00%,163 ms
162.159.192.228:2408,0.00%,163 ms
162.159.192.249:859,0.00%,163 ms
162.159.193.7:2408,0.00%,163 ms
162.159.195.6:890,0.00%,163 ms
162.159.195.8:8742,0.00%,163 ms
162.159.195.9:2408,0.00%,163 ms
162.159.195.11:859,0.00%,163 ms
162.159.195.29:942,0.00%,163 ms
162.159.195.31:8742,0.00%,163 ms
162.159.195.42:859,0.00%,163 ms
162.159.195.45:1387,0.00%,163 ms
162.159.195.54:955,0.00%,163 ms
162.159.195.54:854,0.00%,163 ms
162.159.195.55:1387,0.00%,163 ms
162.159.195.55:2408,0.00%,163 ms
162.159.195.75:859,0.00%,163 ms
162.159.195.93:8742,0.00%,163 ms
162.159.195.130:3854,0.00%,163 ms
162.159.195.130:2408,0.00%,163 ms
162.159.195.138:8742,0.00%,163 ms
162.159.195.150:2408,0.00%,163 ms
162.159.195.164:942,0.00%,163 ms
162.159.195.164:3854,0.00%,163 ms
162.159.195.165:7152,0.00%,163 ms
162.159.195.166:955,0.00%,163 ms
162.159.195.166:1018,0.00%,163 ms
162.159.195.166:2408,0.00%,163 ms
162.159.195.203:1387,0.00%,163 ms
162.159.195.216:1387,0.00%,163 ms
162.159.195.217:7152,0.00%,163 ms
162.159.195.254:1018,0.00%,163 ms
162.159.192.26:7152,0.00%,164 ms
162.159.192.31:854,0.00%,164 ms
162.159.192.60:859,0.00%,164 ms
162.159.192.104:3854,0.00%,164 ms
162.159.192.117:2408,0.00%,164 ms
162.159.192.124:955,0.00%,164 ms
162.159.192.130:859,0.00%,164 ms
162.159.192.178:854,0.00%,164 ms
162.159.192.189:3854,0.00%,164 ms
162.159.192.189:2408,0.00%,164 ms
162.159.192.192:1018,0.00%,164 ms
162.159.192.201:2408,0.00%,164 ms
162.159.192.208:854,0.00%,164 ms
162.159.192.214:854,0.00%,164 ms
162.159.192.229:3854,0.00%,164 ms
162.159.192.229:854,0.00%,164 ms
162.159.192.252:942,0.00%,164 ms
162.159.195.7:3854,0.00%,164 ms
162.159.195.8:942,0.00%,164 ms
162.159.195.14:854,0.00%,164 ms
162.159.195.30:955,0.00%,164 ms
162.159.195.31:3854,0.00%,164 ms
162.159.195.39:854,0.00%,164 ms
162.159.195.42:7152,0.00%,164 ms
162.159.195.42:955,0.00%,164 ms
162.159.195.54:2408,0.00%,164 ms
162.159.195.88:942,0.00%,164 ms
162.159.195.110:859,0.00%,164 ms
162.159.195.127:1387,0.00%,164 ms
162.159.195.130:8742,0.00%,164 ms
162.159.195.150:1387,0.00%,164 ms
162.159.195.150:8742,0.00%,164 ms
162.159.195.166:3854,0.00%,164 ms
162.159.195.177:8742,0.00%,164 ms
162.159.195.179:890,0.00%,164 ms
162.159.195.179:854,0.00%,164 ms
162.159.195.179:2408,0.00%,164 ms
162.159.195.185:859,0.00%,164 ms
162.159.195.186:8742,0.00%,164 ms
162.159.195.203:3854,0.00%,164 ms
162.159.195.208:7152,0.00%,164 ms
162.159.195.215:1387,0.00%,164 ms
162.159.195.225:7152,0.00%,164 ms
162.159.195.234:2408,0.00%,164 ms
162.159.195.251:8742,0.00%,164 ms
162.159.192.0:854,0.00%,165 ms
162.159.192.18:1387,0.00%,165 ms
162.159.192.25:955,0.00%,165 ms
162.159.192.26:955,0.00%,165 ms
162.159.192.27:8742,0.00%,165 ms
162.159.192.29:1387,0.00%,165 ms
162.159.192.39:7152,0.00%,165 ms
162.159.192.47:8742,0.00%,165 ms
162.159.192.54:3854,0.00%,165 ms
162.159.192.55:942,0.00%,165 ms
162.159.192.60:3854,0.00%,165 ms
162.159.192.61:3854,0.00%,165 ms
162.159.192.61:2408,0.00%,165 ms
162.159.192.76:2408,0.00%,165 ms
162.159.192.100:1018,0.00%,165 ms
162.159.192.111:2408,0.00%,165 ms
162.159.192.143:942,0.00%,165 ms
162.159.192.148:2408,0.00%,165 ms
162.159.192.154:1387,0.00%,165 ms
162.159.192.158:955,0.00%,165 ms
162.159.192.163:3854,0.00%,165 ms
162.159.192.168:3854,0.00%,165 ms
162.159.192.173:859,0.00%,165 ms
162.159.192.189:8742,0.00%,165 ms
162.159.192.204:1018,0.00%,165 ms
162.159.192.207:1387,0.00%,165 ms
162.159.192.211:1018,0.00%,165 ms
162.159.192.212:8742,0.00%,165 ms
162.159.192.229:890,0.00%,165 ms
162.159.192.231:859,0.00%,165 ms
162.159.192.234:854,0.00%,165 ms
162.159.192.249:942,0.00%,165 ms
162.159.192.249:8742,0.00%,165 ms
162.159.192.252:1387,0.00%,165 ms
162.159.195.13:890,0.00%,165 ms
162.159.195.21:955,0.00%,165 ms
162.159.195.28:1387,0.00%,165 ms
162.159.195.33:2408,0.00%,165 ms
162.159.195.38:854,0.00%,165 ms
162.159.195.39:1387,0.00%,165 ms
162.159.195.43:2408,0.00%,165 ms
162.159.195.44:2408,0.00%,165 ms
162.159.195.48:2408,0.00%,165 ms
162.159.195.53:7152,0.00%,165 ms
162.159.195.61:890,0.00%,165 ms
162.159.195.77:7152,0.00%,165 ms
162.159.195.81:942,0.00%,165 ms
162.159.195.88:955,0.00%,165 ms
162.159.195.100:1387,0.00%,165 ms
162.159.195.109:955,0.00%,165 ms
162.159.195.110:2408,0.00%,165 ms
162.159.195.122:8742,0.00%,165 ms
162.159.195.130:1387,0.00%,165 ms
162.159.195.131:1018,0.00%,165 ms
162.159.195.138:2408,0.00%,165 ms
162.159.195.150:1018,0.00%,165 ms
162.159.195.153:1018,0.00%,165 ms
162.159.195.164:955,0.00%,165 ms
162.159.195.164:854,0.00%,165 ms
162.159.195.170:859,0.00%,165 ms
162.159.195.170:1387,0.00%,165 ms
162.159.195.178:3854,0.00%,165 ms
162.159.195.191:854,0.00%,165 ms
162.159.195.197:955,0.00%,165 ms
162.159.195.208:2408,0.00%,165 ms
162.159.195.216:3854,0.00%,165 ms
162.159.195.221:942,0.00%,165 ms
162.159.195.227:7152,0.00%,165 ms
162.159.195.246:1018,0.00%,165 ms
162.159.192.8:1387,0.00%,166 ms
162.159.192.8:8742,0.00%,166 ms
162.159.192.16:7152,0.00%,166 ms
162.159.192.27:7152,0.00%,166 ms
162.159.192.27:955,0.00%,166 ms
162.159.192.29:8742,0.00%,166 ms
162.159.192.39:942,0.00%,166 ms
